"Event_Details_ID","Event_ID","Cloud","Rain","Wind","Gust","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10"
"20210521104044-794173538.684845","20210521104016-791464030.742645",100,3,2,3,0,0,0,0,0,0,0,0,0,0
"20210521104314-510047435.760498","20210521104247-314812541.007996",100,3,2,4,0,0,0,0,0,0,0,0,0,0
"20210521104548-925450503.826141","20210521104522-184224188.327789",100,3,2,4,0,0,0,0,0,0,0,0,0,0
"20210521104831-578958690.166473","20210521104810-355577528.476715",100,1,2,4,0,0,0,0,0,0,0,0,0,0
"20210521105040-117243230.342865","20210521105021-899490654.468536",100,2,2,4,0,0,0,1,0,0,0,0,0,0
"20210521105226-30264258.3847046","20210521105206-452828168.869019",100,1,2,4,0,0,0,0,0,0,0,0,0,0
"20210521105458-465001881.122589","20210521105437-518669784.069061",100,1,2,4,0,0,0,0,0,999,999,999,999,999
"20210521110633-348869800.567627","20210521110555-410402178.764343",100,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210521111002-246225595.474243","20210521110922-44667840.0039673",100,0,2,3,1,0,0,1,1,0,0,0,1,0
"20210521111245-218785583.972931","20210521111219-432827174.663544",90,0,2,4,0,0,1,0,1,0,0,0,1,0
"20210521111450-291052043.437958","20210521111432-314039289.951324",90,0,2,4,0,0,0,0,0,0,0,0,0,0
"20210521111618-177620768.547058","20210521111559-133155107.498169",80,0,2,4,0,0,0,0,0,0,0,0,0,0
"20210521112204-512945473.194122","20210521111805-506093204.021454",90,0,2,4,0,1,0,0,0,1,0,0,0,1
"20210521112347-68091154.0985107","20210521112329-983533978.462219",100,1,2,3,0,1,1,1,1,0,1,0,1,1
"20210521112537-417126953.601837","20210521112519-953128993.5112",90,0,1,2,0,0,0,0,1,1,0,0,0,0
"20210521112729-346567153.930664","20210521112710-957129836.082458",100,1,2,4,1,0,1,0,1,3,0,1,1,0
"20210521112936-404970943.927765","20210521112918-959699332.714081",100,1,2,4,0,0,1,0,0,0,0,0,0,0
"20210521125646-774027764.797211","20210521125624-895535290.241241",100,2,1,1,0,0,0,1,0,0,0,0,0,0
