,Detection_ID,Observation_ID,Distance,Detection
620,20210514090555-149981081.485748,20210514090457-191922485.8284,63.0,1
621,20210514090557-704395771.026611,20210514090457-191922485.8284,51.0,1
622,20210514090600-928785979.747772,20210514090457-191922485.8284,28.0,1
623,20210514090602-530212521.55304,20210514090457-191922485.8284,19.0,1
624,20210514090613-401842057.704926,20210514090606-89641392.2309875,108.0,1
625,20210514090615-461874365.80658,20210514090606-89641392.2309875,39.0,1
626,20210514090627-329735934.734344,20210514090617-492165625.095367,13.0,1
627,20210514090630-95429062.8433228,20210514090617-492165625.095367,16.0,1
628,20210514090631-589792549.610138,20210514090617-492165625.095367,18.0,1
629,20210514090633-169873476.028442,20210514090617-492165625.095367,37.0,1
630,20210514090635-927616536.617279,20210514090617-492165625.095367,4.0,2
631,20210514090636-97929835.319519,20210514090617-492165625.095367,3.0,2
632,20210514090637-443862497.806549,20210514090617-492165625.095367,1.0,2
633,20210514090639-272946834.564209,20210514090617-492165625.095367,39.0,2
634,20210514090814-480474710.464478,20210514090729-790128886.699677,23.0,1
635,20210514090817-254601895.809174,20210514090729-790128886.699677,46.0,1
636,20210514090818-340606570.243835,20210514090729-790128886.699677,38.0,1
637,20210514090826-206017196.178436,20210514090820-44933855.5335999,39.0,1
638,20210514090828-864534497.261047,20210514090820-44933855.5335999,40.0,1
639,20210514090843-927883088.588715,20210514090830-588628590.106964,39.0,1
640,20210514091012-479978263.378143,20210514090940-620209574.699402,30.0,1
641,20210514091013-219409108.161926,20210514090940-620209574.699402,26.0,1
642,20210514091021-28885781.7649841,20210514091016-993731319.904327,26.0,1
643,20210514091023-345391631.126404,20210514091016-993731319.904327,38.0,1
644,20210514091033-538246333.599091,20210514091025-547668516.635895,16.0,1
645,20210514091335-422918260.097504,20210514091137-412967801.094055,18.0,1
646,20210514091338-543177008.628845,20210514091137-412967801.094055,23.0,1
647,20210514091339-814663946.628571,20210514091137-412967801.094055,16.0,1
648,20210514091340-540913581.848145,20210514091137-412967801.094055,4.0,2
649,20210514091404-427533328.533173,20210514091137-412967801.094055,300.0,1
650,20210514091413-619187593.460083,20210514091407-509068131.446838,39.0,1
651,20210514091418-489830434.322357,20210514091407-509068131.446838,46.0,1
652,20210514091419-680819392.204285,20210514091407-509068131.446838,35.0,1
653,20210514091430-302497565.746307,20210514091424-886600077.152252,98.0,1
654,20210514091703-161743700.504303,20210514091626-747415781.021118,80.0,1
655,20210514091710-956762433.052063,20210514091705-807779788.970947,16.0,1
656,20210514091712-65851032.7339172,20210514091705-807779788.970947,13.0,1
657,20210514091714-61522245.4071045,20210514091705-807779788.970947,21.0,1
658,20210514091724-463584005.832672,20210514091717-793197572.231293,39.0,1
659,20210514091726-119544029.23584,20210514091717-793197572.231293,68.0,1
660,20210514091902-903098821.640015,20210514091815-746354758.739471,15.0,1
661,20210514091910-634571135.044098,20210514091904-746006906.032562,26.0,1
662,20210514091911-713027954.101563,20210514091904-746006906.032562,12.0,1
663,20210514091912-15682399.2729187,20210514091904-746006906.032562,15.0,1
664,20210514091914-431144356.7276,20210514091904-746006906.032562,36.0,1
665,20210514091916-401982605.457306,20210514091904-746006906.032562,19.0,2
666,20210514091925-802587389.945984,20210514091918-275295495.986938,18.0,1
667,20210514091933-734488189.220428,20210514091928-696100771.427155,38.0,1
668,20210514091943-433457136.154175,20210514091937-277168393.135071,75.0,1
669,20210514092950-218000352.38266,20210514092902-372814297.676086,38.0,1
670,20210514092951-446993231.773376,20210514092902-372814297.676086,23.0,1
671,20210514092952-236027777.194977,20210514092902-372814297.676086,71.0,1
672,20210514093000-374432206.15387,20210514092955-878384590.148926,29.0,1
673,20210514093002-389501869.678497,20210514092955-878384590.148926,51.0,1
674,20210514093003-860589265.823364,20210514092955-878384590.148926,80.0,1
675,20210514093004-585937917.232513,20210514092955-878384590.148926,48.0,1
676,20210514093019-330300807.952881,20210514093007-931559443.473816,30.0,1
677,20210514093026-259541332.72171,20210514093022-868453681.468964,44.0,1
678,20210514093438-410631656.646729,20210514093343-741780698.299408,81.0,1
679,20210514093441-339375197.887421,20210514093343-741780698.299408,95.0,1
680,20210514093442-710554242.134094,20210514093343-741780698.299408,48.0,1
681,20210514093443-312288105.487823,20210514093343-741780698.299408,107.0,1
682,20210514093455-592991232.872009,20210514093446-798773527.145386,34.0,1
683,20210514093456-956236898.899078,20210514093446-798773527.145386,75.0,1
684,20210514093504-114332795.143127,20210514093459-243147850.036621,90.0,1
685,20210514093508-984253227.710724,20210514093459-243147850.036621,73.0,1
686,20210514093510-632975816.726685,20210514093459-243147850.036621,81.0,1
687,20210514093520-574864923.95401,20210514093513-598856389.522552,68.0,1
688,20210514093522-245173931.121826,20210514093513-598856389.522552,87.0,1
689,20210514093740-895446240.901947,20210514093658-581176400.184631,54.0,1
690,20210514093743-111432909.965515,20210514093658-581176400.184631,33.0,4
691,20210514093744-652376711.368561,20210514093658-581176400.184631,58.0,4
692,20210514093746-900333881.378174,20210514093658-581176400.184631,14.0,2
693,20210514093747-231596648.693085,20210514093658-581176400.184631,14.0,2
694,20210514093757-441216230.392456,20210514093751-949905514.717102,58.0,1
695,20210514093758-492006242.275238,20210514093751-949905514.717102,71.0,1
696,20210514093800-769506812.095642,20210514093751-949905514.717102,103.0,1
697,20210514093801-834893286.22818,20210514093751-949905514.717102,69.0,1
698,20210514093809-326157212.257385,20210514093803-382569313.049316,60.0,1
699,20210514093810-413233101.36795,20210514093803-382569313.049316,74.0,1
700,20210514093811-152676820.755005,20210514093803-382569313.049316,88.0,1
701,20210514093813-619831502.437592,20210514093803-382569313.049316,42.0,1
702,20210514093819-692517757.415771,20210514093815-99409937.8585815,51.0,1
703,20210514093820-504459083.080292,20210514093815-99409937.8585815,42.0,1
704,20210514100221-10293424.1294861,20210514100042-821931481.361389,47.0,1
705,20210514100222-151656985.282898,20210514100042-821931481.361389,74.0,1
706,20210514100223-377407610.416412,20210514100042-821931481.361389,73.0,1
707,20210514100225-188131809.234619,20210514100042-821931481.361389,70.0,1
708,20210514100226-979530990.123749,20210514100042-821931481.361389,89.0,1
709,20210514100239-729410886.764526,20210514100228-872118115.42511,74.0,1
710,20210514100240-145000398.159027,20210514100228-872118115.42511,82.0,1
711,20210514100248-827898979.187012,20210514100243-257789969.444275,30.0,4
712,20210514100249-783374011.516571,20210514100243-257789969.444275,30.0,4
713,20210514100251-791155457.496643,20210514100243-257789969.444275,68.0,4
714,20210514100252-332691490.650177,20210514100243-257789969.444275,68.0,4
715,20210514100254-450942277.908325,20210514100243-257789969.444275,69.0,4
716,20210514100303-563989222.049713,20210514100257-555113255.977631,7.0,2
717,20210514100304-203582286.834717,20210514100257-555113255.977631,33.0,1
718,20210514100321-573519527.91214,20210514100243-257789969.444275,72.0,1
719,20210514100458-805275440.216064,20210514100402-933052301.40686,20.0,4
720,20210514100501-989428222.179413,20210514100402-933052301.40686,21.0,4
721,20210514100502-258442044.258118,20210514100402-933052301.40686,26.0,4
722,20210514100510-16988694.6678162,20210514100504-174484074.115753,84.0,1
723,20210514100512-339090704.917908,20210514100504-174484074.115753,71.0,1
724,20210514100513-692547857.761383,20210514100504-174484074.115753,95.0,1
725,20210514100514-110386848.449707,20210514100504-174484074.115753,130.0,1
726,20210514100523-398878395.557404,20210514100517-109738528.728485,72.0,1
727,20210514100524-559022188.186646,20210514100517-109738528.728485,88.0,1
728,20210514100525-310951650.14267,20210514100517-109738528.728485,49.0,1
729,20210514100527-295580744.743347,20210514100517-109738528.728485,52.0,1
730,20210514100534-375816047.19162,20210514100529-807941019.535065,24.0,1
731,20210514100537-401036381.721497,20210514100529-807941019.535065,27.0,4
732,20210514100538-841427624.225616,20210514100529-807941019.535065,12.0,2
733,20210514100539-409597158.432007,20210514100529-807941019.535065,110.0,1
734,20210514100541-724558770.656586,20210514100529-807941019.535065,29.0,4
735,20210514100542-658763289.451599,20210514100529-807941019.535065,29.0,2
736,20210514100738-281381428.24173,20210514100650-283014774.32251,72.0,1
737,20210514100739-368056058.883667,20210514100650-283014774.32251,64.0,1
738,20210514100740-14221131.8016052,20210514100650-283014774.32251,47.0,1
739,20210514100741-294659018.516541,20210514100650-283014774.32251,32.0,1
740,20210514100750-580878436.565399,20210514100743-984046041.965485,65.0,1
741,20210514100752-605673432.350159,20210514100743-984046041.965485,44.0,1
742,20210514100800-793596684.932709,20210514100753-268043816.08963,33.0,1
743,20210514100801-857411265.37323,20210514100753-268043816.08963,23.0,1
744,20210514100816-415376365.184784,20210514100805-93152582.6454163,69.0,1
745,20210514100824-698890447.616577,20210514100819-73371052.7420044,23.0,4
746,20210514100825-499257028.102875,20210514100819-73371052.7420044,25.0,2
747,20210514100829-406934142.112732,20210514100819-73371052.7420044,8.0,2
748,20210514100830-945072233.67691,20210514100819-73371052.7420044,44.0,1
749,20210514100831-984649658.203125,20210514100819-73371052.7420044,13.0,2
750,20210514100833-591442286.968231,20210514100819-73371052.7420044,40.0,1
751,20210514100955-42947709.5603943,20210514100912-548423886.299133,11.0,1
752,20210514100956-405744910.240173,20210514100912-548423886.299133,17.0,1
753,20210514100958-58991491.7945862,20210514100912-548423886.299133,74.0,2
754,20210514100959-311837196.350098,20210514100912-548423886.299133,86.0,2
755,20210514101007-596437752.246857,20210514101002-603043735.027313,19.0,4
756,20210514101008-329625368.118286,20210514101002-603043735.027313,13.0,2
757,20210514101009-909298360.347748,20210514101002-603043735.027313,48.0,1
758,20210514101011-770071864.128113,20210514101002-603043735.027313,17.0,2
759,20210514101028-732524573.802948,20210514101022-575873911.380768,32.0,1
760,20210514101029-162942051.887512,20210514101022-575873911.380768,140.0,1
761,20210514101037-758574426.174164,20210514101032-59616863.7275696,77.0,1
762,20210514101205-653397262.096405,20210514101128-602104067.802429,15.0,1
763,20210514101206-14581799.5071411,20210514101128-602104067.802429,26.0,2
764,20210514101208-661924183.368683,20210514101128-602104067.802429,20.0,4
765,20210514101215-953598380.088806,20210514101211-964709043.502808,28.0,1
766,20210514101218-73634207.2486877,20210514101211-964709043.502808,30.0,2
767,20210514101220-293299674.987793,20210514101211-964709043.502808,30.0,2
768,20210514101222-582484424.114227,20210514101211-964709043.502808,19.0,4
769,20210514101230-54648637.7716064,20210514101226-807886719.703674,39.0,1
770,20210514101238-412355005.741119,20210514101233-564306676.387787,34.0,1
771,20210514101239-510047435.760498,20210514101233-564306676.387787,36.0,1
772,20210514101240-733510673.046112,20210514101233-564306676.387787,30.0,1
773,20210514101413-721003949.642181,20210514101329-807689309.120178,8.0,4
774,20210514101415-693353533.744812,20210514101329-807689309.120178,14.0,1
775,20210514101416-730833590.03067,20210514101329-807689309.120178,15.0,2
776,20210514101418-192306995.391846,20210514101329-807689309.120178,42.0,1
777,20210514101425-248069584.369659,20210514101420-773646056.652069,45.0,1
778,20210514101427-950413465.499878,20210514101420-773646056.652069,26.0,1
779,20210514101428-819883286.952972,20210514101420-773646056.652069,34.0,1
780,20210514101436-236920356.750488,20210514101430-219469428.062439,17.0,1
781,20210514101438-925450503.826141,20210514101430-219469428.062439,15.0,2
782,20210514101445-714486360.549927,20210514101440-257504105.567932,40.0,1
783,20210514101452-758845865.726471,20210514101448-664871633.052826,92.0,1
784,20210514101630-139437973.499298,20210514101553-204305648.803711,34.0,4
785,20210514101632-60976266.8609619,20210514101553-204305648.803711,17.0,1
786,20210514101633-634190976.61972,20210514101553-204305648.803711,24.0,1
787,20210514101635-838558077.812195,20210514101553-204305648.803711,45.0,1
788,20210514101636-640923082.828522,20210514101553-204305648.803711,64.0,1
789,20210514101647-495481610.298157,20210514101638-424929141.998291,17.0,1
790,20210514101649-973131000.995636,20210514101638-424929141.998291,28.0,1
791,20210514101653-769369840.621948,20210514101553-204305648.803711,38.0,1
792,20210514101703-547011435.031891,20210514101656-380592286.586761,82.0,1
793,20210514101710-647795319.55719,20210514101705-673949241.638184,63.0,1
794,20210514102013-173543334.007263,20210514101935-436583340.167999,38.0,1
795,20210514102029-978931605.815887,20210514102019-278057157.993317,29.0,1
796,20210514102033-283584237.098694,20210514102019-278057157.993317,22.0,1
797,20210514102034-618100464.344025,20210514102019-278057157.993317,37.0,1
798,20210514102047-318967700.004578,20210514102040-306629419.326782,22.0,1
799,20210514102056-300032317.638397,20210514102052-795397341.251373,43.0,1
800,20210514102105-452828168.869019,20210514102059-72723507.8811646,74.0,1
801,20210514102657-755260467.529297,20210514102616-43198525.9056091,19.0,1
802,20210514102658-822578608.989716,20210514102616-43198525.9056091,28.0,1
803,20210514102700-209674477.577209,20210514102616-43198525.9056091,43.0,1
804,20210514102701-468735992.908478,20210514102616-43198525.9056091,45.0,1
805,20210514102702-868004083.633423,20210514102616-43198525.9056091,27.0,1
806,20210514102710-462500154.972076,20210514102704-828341901.302338,24.0,1
807,20210514102711-348869800.567627,20210514102704-828341901.302338,32.0,1
808,20210514102718-544311344.623566,20210514102713-249270141.124725,30.0,4
809,20210514102719-538250684.738159,20210514102713-249270141.124725,40.0,4
810,20210514102720-626684129.238129,20210514102713-249270141.124725,28.0,4
811,20210514102722-88129401.2069702,20210514102713-249270141.124725,26.0,2
812,20210514102723-711056768.894196,20210514102713-249270141.124725,17.0,1
813,20210514102731-275211930.274963,20210514102725-257985115.05127,13.0,1
814,20210514102733-960600197.315216,20210514102725-257985115.05127,15.0,1
815,20210514102735-326981782.913208,20210514102725-257985115.05127,8.0,4
816,20210514102736-647697865.962982,20210514102725-257985115.05127,8.0,4
817,20210514102915-44667840.0039673,20210514102826-589929640.293121,29.0,1
818,20210514102917-153209030.628204,20210514102826-589929640.293121,34.0,1
819,20210514102919-246225595.474243,20210514102826-589929640.293121,27.0,1
820,20210514102920-398755490.779877,20210514102826-589929640.293121,62.0,1
821,20210514102921-583927035.331726,20210514102826-589929640.293121,70.0,1
822,20210514102928-898083388.805389,20210514102923-287628710.269928,28.0,1
823,20210514102931-526617169.380188,20210514102923-287628710.269928,33.0,1
824,20210514102944-387536823.749542,20210514102826-589929640.293121,15.0,1
825,20210514102954-2714872.36022949,20210514102826-589929640.293121,29.0,1
826,20210514102958-250869691.371918,20210514102826-589929640.293121,41.0,1
827,20210514102959-162838339.805603,20210514102826-589929640.293121,44.0,1
828,20210514103001-645133078.098297,20210514102826-589929640.293121,49.0,1
829,20210514103016-240698456.764221,20210514103010-981146812.438965,35.0,1
830,20210514103017-878593742.847443,20210514103010-981146812.438965,27.0,4
831,20210514103020-129641771.316528,20210514103010-981146812.438965,45.0,4
832,20210514103021-569796025.753021,20210514103010-981146812.438965,18.0,1
833,20210514103029-693866252.89917,20210514103023-606938242.912292,18.0,4
834,20210514103030-850022971.630096,20210514103023-606938242.912292,62.0,1
835,20210514103032-97556233.4060669,20210514103023-606938242.912292,62.0,1
836,20210514103046-268132150.173187,20210514103035-394446194.171906,25.0,1
837,20210520090943-709037899.971008,20210520090901-14017641.544342,49.0,1
838,20210520090945-45352756.9770813,20210520090901-14017641.544342,20.0,1
839,20210520090956-790480017.662048,20210520090949-414032697.677612,42.0,1
840,20210520090958-373536169.528961,20210520090949-414032697.677612,29.0,1
841,20210520091000-961953163.146973,20210520090949-414032697.677612,45.0,1
842,20210520091020-949556648.731232,20210520091003-871445834.636688,37.0,4
843,20210520091022-364018678.665161,20210520091003-871445834.636688,18.0,1
844,20210520091027-524868428.707123,20210520091003-871445834.636688,41.0,1
845,20210520091040-592458248.138428,20210520091035-767111659.049988,29.0,1
846,20210520091042-468700110.912323,20210520091035-767111659.049988,30.0,1
847,20210520091044-298165440.559387,20210520091035-767111659.049988,66.0,1
848,20210520091046-622696697.711945,20210520091035-767111659.049988,65.0,1
849,20210520091047-647821187.973022,20210520091035-767111659.049988,35.0,1
850,20210520091053-263792932.033539,20210520091035-767111659.049988,41.0,1
851,20210520091055-279342055.32074,20210520091035-767111659.049988,50.0,1
852,20210520091306-980003237.724304,20210520091200-910964310.16922,37.0,1
853,20210520091315-106369674.20578,20210520091310-243931353.092194,51.0,1
854,20210520091317-999414563.179016,20210520091310-243931353.092194,55.0,1
855,20210520091325-575183808.803558,20210520091321-676175892.353058,40.0,1
856,20210520091336-798884391.784668,20210520091328-100052237.510681,19.0,1
857,20210520091338-284480273.723602,20210520091328-100052237.510681,51.0,2
858,20210520091340-45649170.8755493,20210520091328-100052237.510681,23.0,1
859,20210520091341-295772850.513458,20210520091328-100052237.510681,21.0,1
860,20210520091354-948571085.929871,20210520091349-382010698.318481,49.0,1
861,20210520091355-979829370.975494,20210520091349-382010698.318481,46.0,1
862,20210520091403-160441517.829895,20210520091358-401374340.057373,22.0,1
863,20210520091405-162821590.900421,20210520091358-401374340.057373,26.0,1
864,20210520091727-583359003.067017,20210520091506-633178889.751434,39.0,1
865,20210520091729-80714643.0015564,20210520091506-633178889.751434,34.0,1
866,20210520091730-457971453.666687,20210520091506-633178889.751434,22.0,1
867,20210520091732-905729830.265045,20210520091506-633178889.751434,18.0,1
868,20210520091734-261368274.688721,20210520091506-633178889.751434,15.0,1
869,20210520091739-785212218.761444,20210520091506-633178889.751434,12.0,1
870,20210520091828-919377088.546753,20210520091822-378902554.512024,75.0,1
871,20210520091830-631742417.812347,20210520091822-378902554.512024,77.0,1
872,20210520091831-627642035.484314,20210520091822-378902554.512024,45.0,1
873,20210520092033-561040103.435516,20210520091835-428456366.062164,50.0,1
874,20210520092037-694485306.739807,20210520091835-428456366.062164,39.0,1
875,20210520092039-913717567.920685,20210520091835-428456366.062164,52.0,1
876,20210520092041-834817171.096802,20210520091835-428456366.062164,20.0,1
877,20210520092054-916163980.960846,20210520092047-22629201.4122009,71.0,1
878,20210520094003-364018678.665161,20210520093926-871445834.636688,42.0,1
879,20210520094005-524868428.707123,20210520093926-871445834.636688,39.0,1
880,20210520094006-767111659.049988,20210520093926-871445834.636688,56.0,1
881,20210520094009-53504526.6151428,20210520093926-871445834.636688,70.0,1
882,20210520094010-592458248.138428,20210520093926-871445834.636688,61.0,1
883,20210520094020-468700110.912323,20210520093926-871445834.636688,52.0,1
884,20210520094027-647821187.973022,20210520094022-298165440.559387,45.0,1
885,20210520094029-263792932.033539,20210520094022-298165440.559387,20.0,1
886,20210520094030-279342055.32074,20210520094022-298165440.559387,6.0,1
887,20210520094038-589163005.35202,20210520094033-829801619.052887,51.0,1
888,20210520094047-226866006.851196,20210520094042-986093163.490295,69.0,1
889,20210520094105-695115506.649017,20210520094042-986093163.490295,,9
890,20210520094544-575183808.803558,20210520094454-999414563.179016,22.0,1
891,20210520094547-100052237.510681,20210520094454-999414563.179016,44.0,1
892,20210520094548-103022634.983063,20210520094454-999414563.179016,50.0,1
893,20210520094549-798884391.784668,20210520094454-999414563.179016,65.0,1
894,20210520094550-284480273.723602,20210520094454-999414563.179016,19.0,1
895,20210520094600-382010698.318481,20210520094555-45649170.8755493,62.0,1
896,20210520094601-300970494.747162,20210520094555-45649170.8755493,56.0,1
897,20210520094602-948571085.929871,20210520094555-45649170.8755493,69.0,1
898,20210520094604-979829370.975494,20210520094555-45649170.8755493,38.0,1
899,20210520094605-401374340.057373,20210520094555-45649170.8755493,40.0,1
900,20210520094614-162821590.900421,20210520094609-278279960.155487,19.0,1
901,20210520094615-646587133.407593,20210520094609-278279960.155487,22.0,1
902,20210520094621-712730467.319489,20210520094617-410073220.729828,70.0,1
903,20210520094957-905729830.265045,20210520094823-583359003.067017,51.0,1
904,20210520094958-261368274.688721,20210520094823-583359003.067017,46.0,1
905,20210520094959-785212218.761444,20210520094823-583359003.067017,38.0,1
906,20210520095008-919377088.546753,20210520095002-378902554.512024,60.0,1
907,20210520095009-631742417.812347,20210520095002-378902554.512024,45.0,1
908,20210520095010-627642035.484314,20210520095002-378902554.512024,39.0,1
909,20210520095011-428456366.062164,20210520095002-378902554.512024,48.0,1
910,20210520095012-97973823.5473633,20210520095002-378902554.512024,52.0,1
911,20210520095016-561040103.435516,20210520095002-378902554.512024,40.0,1
912,20210520095024-834817171.096802,20210520095018-694485306.739807,48.0,1
913,20210520095032-916163980.960846,20210520095027-22629201.4122009,36.0,1
914,20210520095034-430261135.101318,20210520095027-22629201.4122009,18.0,1
915,20210520095543-55593490.6005859,20210520095141-353472650.051117,60.0,1
916,20210520095544-243845164.775848,20210520095141-353472650.051117,41.0,1
917,20210520095545-979077935.218811,20210520095141-353472650.051117,53.0,1
918,20210520095546-60916244.9836731,20210520095141-353472650.051117,16.0,1
919,20210520095547-390291452.407837,20210520095141-353472650.051117,29.0,1
920,20210520095554-155663073.062897,20210520095549-364995419.979095,56.0,1
921,20210520095556-474459171.295166,20210520095549-364995419.979095,49.0,1
922,20210520095603-542070209.980011,20210520095559-257267653.942108,30.0,1
923,20210520095606-156302213.668823,20210520095559-257267653.942108,16.0,1
924,20210520095609-938545167.446136,20210520095559-257267653.942108,2.0,4
925,20210520100107-596094548.70224,20210520095649-783995270.729065,36.0,1
926,20210520100109-832730174.064636,20210520095649-783995270.729065,28.0,1
927,20210520100112-18758356.5711975,20210520095649-783995270.729065,16.0,1
928,20210520100114-210368633.270264,20210520095649-783995270.729065,26.0,1
929,20210520100130-331694424.152374,20210520100118-73953330.5168152,50.0,1
930,20210520100132-128249883.651733,20210520100118-73953330.5168152,41.0,1
931,20210520100133-241219.997406006,20210520100118-73953330.5168152,62.0,1
932,20210520100152-536794066.429138,20210520100118-73953330.5168152,30.0,1
933,20210520100208-827411830.425262,20210520100154-657054960.727692,22.0,1
934,20210520100209-81893563.2705688,20210520100154-657054960.727692,19.0,1
935,20210520100215-454207837.581635,20210520100211-191922485.8284,48.0,1
936,20210520100455-401842057.704926,20210520100327-530212521.55304,48.0,1
937,20210520100456-461874365.80658,20210520100327-530212521.55304,39.0,1
938,20210520100457-492165625.095367,20210520100327-530212521.55304,28.0,1
939,20210520100458-207627296.447754,20210520100327-530212521.55304,44.0,4
940,20210520100500-329735934.734344,20210520100327-530212521.55304,51.0,2
941,20210520100502-95429062.8433228,20210520100327-530212521.55304,58.0,4
942,20210520100503-589792549.610138,20210520100327-530212521.55304,61.0,2
943,20210520100510-97929835.319519,20210520100505-169873476.028442,29.0,1
944,20210520100511-443862497.806549,20210520100505-169873476.028442,36.0,1
945,20210520100512-272946834.564209,20210520100505-169873476.028442,53.0,1
946,20210520100521-272942364.215851,20210520100515-872546851.634979,56.0,1
947,20210520100635-235282242.298126,20210520100602-322717666.625977,22.0,1
948,20210520100636-480474710.464478,20210520100602-322717666.625977,28.0,2
949,20210520100638-254601895.809174,20210520100602-322717666.625977,28.0,2
950,20210520100639-340606570.243835,20210520100602-322717666.625977,16.0,2
951,20210520100640-44933855.5335999,20210520100602-322717666.625977,16.0,4
952,20210520100644-482428073.883057,20210520100602-322717666.625977,10.0,2
953,20210520100645-206017196.178436,20210520100602-322717666.625977,10.0,2
954,20210520100653-754908323.287964,20210520100648-864534497.261047,18.0,2
955,20210520100654-927883088.588715,20210520100648-864534497.261047,22.0,1
956,20210520100655-331016898.155212,20210520100648-864534497.261047,28.0,1
957,20210520100703-634371936.321259,20210520100659-542941153.049469,56.0,1
958,20210520100705-410036683.082581,20210520100659-542941153.049469,110.0,1
959,20210520100707-960422813.892365,20210520100659-542941153.049469,60.0,1
960,20210520100708-114623308.181763,20210520100659-542941153.049469,46.0,1
961,20210520100709-923445165.157318,20210520100659-542941153.049469,69.0,1
962,20210520100717-149245738.983154,20210520100712-620209574.699402,62.0,1
963,20210520100930-538246333.599091,20210520100820-28885781.7649841,44.0,1
964,20210520100931-406421303.749084,20210520100820-28885781.7649841,51.0,1
965,20210520100933-847245514.392853,20210520100820-28885781.7649841,50.0,1
966,20210520100934-826225519.180298,20210520100820-28885781.7649841,57.0,1
967,20210520100935-672427594.661713,20210520100820-28885781.7649841,48.0,1
968,20210520100942-339806079.864502,20210520100939-721895098.686218,69.0,1
969,20210520100944-495211303.2341,20210520100939-721895098.686218,56.0,1
970,20210520100946-412967801.094055,20210520100939-721895098.686218,36.0,1
971,20210520100947-695281803.607941,20210520100939-721895098.686218,6.0,2
972,20210520100948-179089307.785034,20210520100939-721895098.686218,6.0,2
973,20210520100956-814663946.628571,20210520100951-422918260.097504,29.0,1
974,20210520100957-540913581.848145,20210520100951-422918260.097504,11.0,2
975,20210520100958-427533328.533173,20210520100951-422918260.097504,11.0,2
976,20210520101437-302497565.746307,20210520101403-680819392.204285,22.0,1
977,20210520101438-292866826.057434,20210520101403-680819392.204285,30.0,1
978,20210520101440-150311291.217804,20210520101403-680819392.204285,12.0,1
979,20210520101440-529821157.455444,20210520101403-680819392.204285,15.0,2
980,20210520101442-223261773.586273,20210520101403-680819392.204285,10.0,2
981,20210520101453-875974655.151367,20210520101446-584529280.662537,29.0,1
982,20210520101454-478014171.123505,20210520101446-584529280.662537,48.0,1
983,20210520101455-190633416.175842,20210520101446-584529280.662537,31.0,1
984,20210520101457-684062302.112579,20210520101446-584529280.662537,56.0,1
985,20210520101503-782138705.253601,20210520101459-747415781.021118,48.0,1
986,20210520101509-161743700.504303,20210520101459-747415781.021118,69.0,1
987,20210520101513-807779788.970947,20210520101459-747415781.021118,39.0,4
988,20210520101515-202618300.914764,20210520101459-747415781.021118,12.0,2
989,20210520101516-956762433.052063,20210520101459-747415781.021118,36.0,1
990,20210520101518-65851032.7339172,20210520101459-747415781.021118,52.0,2
991,20210520101519-61522245.4071045,20210520101459-747415781.021118,52.0,2
992,20210520101520-793197572.231293,20210520101459-747415781.021118,10.0,2
993,20210520101522-379604697.227478,20210520101459-747415781.021118,15.0,2
994,20210520101524-463584005.832672,20210520101459-747415781.021118,21.0,2
995,20210520101533-173773407.936096,20210520101528-119544029.23584,68.0,1
996,20210520101534-48118889.3318176,20210520101528-119544029.23584,57.0,1
997,20210520101639-398932278.156281,20210520101602-468005657.196045,30.0,4
998,20210520101641-903098821.640015,20210520101602-468005657.196045,36.0,2
999,20210520101642-746006906.032562,20210520101602-468005657.196045,46.0,1
1000,20210520101644-88559508.3236694,20210520101602-468005657.196045,29.0,1
1001,20210520101645-634571135.044098,20210520101602-468005657.196045,62.0,2
1002,20210520101648-713027954.101563,20210520101602-468005657.196045,62.0,2
1003,20210520101650-15682399.2729187,20210520101602-468005657.196045,62.0,2
1004,20210520101651-431144356.7276,20210520101602-468005657.196045,62.0,2
1005,20210520101652-401982605.457306,20210520101602-468005657.196045,62.0,2
1006,20210520101653-275295495.986938,20210520101602-468005657.196045,62.0,2
1007,20210520101654-985373914.241791,20210520101602-468005657.196045,62.0,2
1008,20210520101655-802587389.945984,20210520101602-468005657.196045,23.0,2
1009,20210520101714-734488189.220428,20210520101707-696100771.427155,14.0,2
1010,20210520101716-277168393.135071,20210520101707-696100771.427155,26.0,1
1011,20210520101729-944971024.990082,20210520101723-356586277.484894,62.0,1
1012,20210520101730-121549963.951111,20210520101723-356586277.484894,56.0,1
1013,20210520101731-645951330.661774,20210520101723-356586277.484894,50.0,1
1014,20210520101741-185402512.550354,20210520101736-347832679.748535,152.0,1
1015,20210520101750-959270894.527435,20210520101744-77684700.4890442,1.0,2
1016,20210520101930-517255842.685699,20210520101856-281503438.949585,12.0,1
1017,20210520101931-965364456.176758,20210520101856-281503438.949585,13.0,1
1018,20210520101937-657256424.427032,20210520101933-557501018.047333,63.0,1
1019,20210520101939-441114664.077759,20210520101933-557501018.047333,70.0,1
1020,20210520101945-756092607.975006,20210520101941-692994534.96933,39.0,1
1021,20210520101947-700514316.558838,20210520101941-692994534.96933,69.0,1
1022,20210520101948-497070968.151093,20210520101941-692994534.96933,56.0,1
1023,20210520101949-155435681.343079,20210520101941-692994534.96933,48.0,1
1024,20210520131759-760723590.85083,20210520131720-301948010.921478,1.0,2
1025,20210520131801-814490020.275116,20210520131720-301948010.921478,19.0,1
1026,20210520131802-709037899.971008,20210520131720-301948010.921478,4.0,2
1027,20210520131803-45352756.9770813,20210520131720-301948010.921478,3.0,2
